feature_idx,peak_bin,peak_value,mean_value,selectivity
114,5,24.135076782625568,17.622205208748902,1.3695832330134738
78,6,86.67688968091527,33.027108017057415,2.6244165742924834
33,6,72.90719657316356,29.9280310850069,2.436083963093936
110,6,71.2377141657559,30.47466882638974,2.3376042106178954
2,6,85.90051907647904,39.432450184471904,2.1784220527666984
79,6,100.34719479356392,47.378478089096106,2.1179910972416214
98,6,71.81508703203497,34.3419560067059,2.0911763738213005
81,6,3.2488842758947643,1.554044430906787,2.0905993492077606
4,6,69.46973466312913,33.55246020771616,2.0704810983473543
21,6,57.42898462346905,27.943477452686466,2.055183887571116
75,6,74.72885446458946,36.894565561628255,2.025470508380488
41,6,17.493692212886536,8.839320612997012,1.9790765578933152
30,6,23.65071040805569,13.154058945261843,1.7979781378867847
49,6,94.61396770983198,53.04465850818982,1.7836662610472511
121,6,7.27504316277213,4.45878797435619,1.631618997048621
111,6,56.92886258386526,37.162229403801355,1.5319011667809528
65,6,26.097418248895444,17.117078847554655,1.5246420537826286
90,7,80.48457279844365,29.613657616713454,2.71781938726197
123,7,101.53306118374813,39.079647822102935,2.598105838771678
126,7,56.28672789881438,22.065546030742517,2.55088760642461
8,7,32.31774734755492,13.087807754464569,2.469301807747679
10,7,13.635743393751415,5.56831925194146,2.44880775989913
124,7,66.72145286338316,27.327965739478667,2.4415082154100562
34,7,17.150644933279548,7.082357640304863,2.421601083186738
15,7,97.05550290540921,40.827988022926334,2.3771806450738593
37,7,51.817276499108495,21.912637912859168,2.364721066681743
96,7,86.36054666865475,36.63784206935568,2.3571406445055443
107,7,41.3027245467423,17.8380038347693,2.3154342228716738
58,7,53.97982982790093,23.549719100960438,2.2921644880977863
85,7,41.893192775765755,18.825270189451352,2.225370066626676
35,7,37.26186515089928,17.317446594639755,2.151695109741626
12,7,32.40626809247958,15.473091548541888,2.0943628486145873
64,7,33.659100956300406,16.459938463955773,2.0449104976915065
14,7,18.517733249861703,9.224203644372448,2.0075156581303464
118,7,44.05721403337235,22.018576958066813,2.0009110542100847
27,7,25.988891246806432,13.291036950030463,1.9553697235598992
116,7,82.41880165158034,42.23244014211801,1.951551967497703
73,7,8.74958501090619,4.624246478886472,1.892110433744054
100,7,59.997818934464675,34.312169674582165,1.748587148626431
122,7,6.013355880335682,3.5036427589011367,1.7163153592237133
9,7,20.212164152564327,12.075879924223875,1.6737632602671562
69,7,97.02345490096619,58.529703870216885,1.6576788961055442
88,7,21.67360179505703,13.369385393723718,1.62113673566708
50,8,1.2846099432012617,0.4226719623239374,3.039259893502689
125,8,49.61639859296238,19.01592272817714,2.609202787695435
106,8,50.923540797487476,19.589536476603865,2.5995276028253542
80,8,16.435795536184017,6.349250541674233,2.5886197793430394
18,8,53.169273953365746,20.670552238629966,2.5722231965336313
71,8,17.671134580642615,7.02881996812755,2.514096912536034
16,8,41.79886009558807,16.872189388966994,2.477382106848538
23,8,21.509150201785967,9.778461536951005,2.199645631422249
13,8,0.3596046914349681,0.22600330594600063,1.5911479255984773
